sk_order,order_number,order_type,priority_level,sales_channel,order_status
519,ORD-0000519,Express,Medium,E-commerce,In Transit
520,ORD-0000520,Express,Critical,E-commerce,Delivered
521,ORD-0000521,Standard,Critical,B2B,Delivered
522,ORD-0000522,Backorder,Critical,EDI,Delivered
523,ORD-0000523,Standard,Low,B2B,Delivered
524,ORD-0000524,Express,Critical,E-commerce,Delivered
525,ORD-0000525,Express,High,E-commerce,Delivered
526,ORD-0000526,Standard,Medium,B2B,In Transit
527,ORD-0000527,Backorder,High,EDI,Delivered
528,ORD-0000528,Backorder,Medium,EDI,Delivered
529,ORD-0000529,Backorder,Critical,EDI,Delivered
530,ORD-0000530,Express,Low,E-commerce,Delivered
531,ORD-0000531,Express,Critical,E-commerce,Delivered
532,ORD-0000532,Standard,Low,B2B,Delivered
533,ORD-0000533,Standard,Medium,B2B,Delivered
534,ORD-0000534,Standard,Medium,B2B,Delivered
535,ORD-0000535,Standard,Critical,B2B,Cancelled
536,ORD-0000536,Express,Low,E-commerce,Delivered
537,ORD-0000537,Backorder,Critical,EDI,In Transit
538,ORD-0000538,Express,Medium,E-commerce,Delivered
539,ORD-0000539,Express,High,E-commerce,Delivered
540,ORD-0000540,Standard,Low,B2B,Delivered
541,ORD-0000541,Standard,High,B2B,Delivered
542,ORD-0000542,Express,Critical,E-commerce,In Transit
543,ORD-0000543,Standard,Low,B2B,Delivered
544,ORD-0000544,Express,Critical,E-commerce,Delivered
545,ORD-0000545,Standard,High,B2B,Delivered
546,ORD-0000546,Express,Critical,E-commerce,Delivered
547,ORD-0000547,Backorder,Low,EDI,Delivered
548,ORD-0000548,Express,Critical,E-commerce,In Transit
549,ORD-0000549,Standard,Medium,B2B,Delivered
550,ORD-0000550,Standard,Critical,B2B,Delivered
551,ORD-0000551,Express,Low,E-commerce,Delivered
552,ORD-0000552,Standard,Critical,B2B,Cancelled
553,ORD-0000553,Standard,High,B2B,Delivered
554,ORD-0000554,Standard,Medium,B2B,Delivered
555,ORD-0000555,Backorder,Critical,EDI,Delivered
556,ORD-0000556,Standard,High,B2B,Cancelled
557,ORD-0000557,Standard,Low,B2B,Delivered
558,ORD-0000558,Backorder,Medium,EDI,Delivered
559,ORD-0000559,Backorder,Medium,EDI,Delivered
560,ORD-0000560,Standard,Medium,B2B,Delivered
561,ORD-0000561,Standard,Low,B2B,Delivered
562,ORD-0000562,Express,Medium,E-commerce,Delivered
563,ORD-0000563,Express,High,E-commerce,Delivered
564,ORD-0000564,Backorder,Medium,EDI,Delivered
565,ORD-0000565,Backorder,Low,EDI,Delivered
566,ORD-0000566,Backorder,Low,EDI,In Transit
567,ORD-0000567,Backorder,Medium,EDI,In Transit
568,ORD-0000568,Standard,High,B2B,Delivered
569,ORD-0000569,Express,Low,E-commerce,In Transit
570,ORD-0000570,Standard,High,B2B,In Transit
571,ORD-0000571,Express,Medium,E-commerce,Delivered
572,ORD-0000572,Standard,High,B2B,In Transit
573,ORD-0000573,Backorder,Medium,EDI,In Transit
574,ORD-0000574,Express,Critical,E-commerce,Delivered
575,ORD-0000575,Backorder,Medium,EDI,Delivered
576,ORD-0000576,Backorder,Low,EDI,In Transit
577,ORD-0000577,Backorder,Critical,EDI,In Transit
578,ORD-0000578,Express,Critical,E-commerce,Delivered
579,ORD-0000579,Backorder,Low,EDI,Delivered
580,ORD-0000580,Standard,Medium,B2B,Delivered
581,ORD-0000581,Standard,Critical,B2B,Delivered
582,ORD-0000582,Standard,Medium,B2B,Delivered
583,ORD-0000583,Backorder,Critical,EDI,In Transit
584,ORD-0000584,Express,High,E-commerce,Delivered
585,ORD-0000585,Express,High,E-commerce,Delivered
586,ORD-0000586,Standard,Critical,B2B,Delivered
587,ORD-0000587,Backorder,Low,EDI,Delivered
588,ORD-0000588,Backorder,Medium,EDI,Delivered
589,ORD-0000589,Express,Medium,E-commerce,Delivered
590,ORD-0000590,Backorder,Critical,EDI,Delivered
591,ORD-0000591,Standard,High,B2B,Delivered
592,ORD-0000592,Express,Medium,E-commerce,Delivered
593,ORD-0000593,Standard,High,B2B,Delivered
594,ORD-0000594,Express,Low,E-commerce,Delivered
595,ORD-0000595,Standard,Medium,B2B,Delivered
596,ORD-0000596,Standard,Low,B2B,In Transit
597,ORD-0000597,Express,High,E-commerce,Delivered
598,ORD-0000598,Standard,Critical,B2B,Returned
599,ORD-0000599,Standard,High,B2B,Delivered
600,ORD-0000600,Standard,Medium,B2B,Delivered
601,ORD-0000601,Standard,Medium,B2B,Delivered
602,ORD-0000602,Standard,Medium,B2B,Delivered
603,ORD-0000603,Express,High,E-commerce,Delivered
604,ORD-0000604,Express,Low,E-commerce,Delivered
605,ORD-0000605,Express,Medium,E-commerce,Delivered
606,ORD-0000606,Standard,High,B2B,Delivered
607,ORD-0000607,Backorder,Critical,EDI,Cancelled
608,ORD-0000608,Backorder,Low,EDI,Delivered
609,ORD-0000609,Express,High,E-commerce,In Transit
610,ORD-0000610,Express,High,E-commerce,In Transit
611,ORD-0000611,Standard,Medium,B2B,Delivered
612,ORD-0000612,Express,Critical,E-commerce,Returned
613,ORD-0000613,Backorder,Medium,EDI,Delivered
614,ORD-0000614,Backorder,High,EDI,Delivered
615,ORD-0000615,Standard,Medium,B2B,Delivered
616,ORD-0000616,Express,High,E-commerce,Delivered
617,ORD-0000617,Express,High,E-commerce,Delivered
618,ORD-0000618,Express,Low,E-commerce,Delivered
619,ORD-0000619,Backorder,Medium,EDI,Delivered
620,ORD-0000620,Standard,High,B2B,In Transit
621,ORD-0000621,Standard,Critical,B2B,Delivered
622,ORD-0000622,Standard,Low,B2B,In Transit
623,ORD-0000623,Backorder,High,EDI,Delivered
624,ORD-0000624,Express,Medium,E-commerce,In Transit
625,ORD-0000625,Express,Low,E-commerce,Delivered
626,ORD-0000626,Backorder,High,EDI,Delivered
627,ORD-0000627,Backorder,High,EDI,Cancelled
628,ORD-0000628,Standard,Medium,B2B,Delivered
629,ORD-0000629,Standard,Low,B2B,Delivered
630,ORD-0000630,Backorder,Low,EDI,Delivered
631,ORD-0000631,Standard,High,B2B,Delivered
632,ORD-0000632,Standard,Critical,B2B,Delivered
633,ORD-0000633,Backorder,Medium,EDI,Delivered
634,ORD-0000634,Backorder,Critical,EDI,Delivered
635,ORD-0000635,Backorder,High,EDI,In Transit
636,ORD-0000636,Backorder,Critical,EDI,Delivered
637,ORD-0000637,Express,Low,E-commerce,Delivered
638,ORD-0000638,Express,High,E-commerce,Delivered
639,ORD-0000639,Standard,Low,B2B,Delivered
640,ORD-0000640,Standard,Medium,B2B,Delivered
641,ORD-0000641,Standard,Critical,B2B,Returned
642,ORD-0000642,Standard,Low,B2B,Delivered
643,ORD-0000643,Express,Medium,E-commerce,Delivered
644,ORD-0000644,Express,Low,E-commerce,Delivered
645,ORD-0000645,Standard,Medium,B2B,Delivered
646,ORD-0000646,Backorder,Medium,EDI,In Transit
647,ORD-0000647,Standard,Critical,B2B,Delivered
648,ORD-0000648,Standard,Medium,B2B,Delivered
649,ORD-0000649,Backorder,Critical,EDI,Delivered
650,ORD-0000650,Backorder,Medium,EDI,Delivered
651,ORD-0000651,Backorder,Low,EDI,Delivered
652,ORD-0000652,Backorder,High,EDI,In Transit
653,ORD-0000653,Express,High,E-commerce,Cancelled
654,ORD-0000654,Express,High,E-commerce,Delivered
655,ORD-0000655,Express,Critical,E-commerce,Delivered
656,ORD-0000656,Express,Medium,E-commerce,Delivered
657,ORD-0000657,Standard,Critical,B2B,Returned
658,ORD-0000658,Express,High,E-commerce,In Transit
659,ORD-0000659,Standard,Critical,B2B,Delivered
660,ORD-0000660,Backorder,High,EDI,Delivered
661,ORD-0000661,Express,Critical,E-commerce,Delivered
662,ORD-0000662,Backorder,High,EDI,In Transit
663,ORD-0000663,Standard,Low,B2B,Delivered
664,ORD-0000664,Standard,Medium,B2B,Delivered
665,ORD-0000665,Standard,Low,B2B,In Transit
666,ORD-0000666,Express,High,E-commerce,In Transit
667,ORD-0000667,Standard,Critical,B2B,In Transit
668,ORD-0000668,Standard,Medium,B2B,In Transit
669,ORD-0000669,Backorder,Critical,EDI,Delivered
670,ORD-0000670,Standard,Low,B2B,Delivered
671,ORD-0000671,Express,Critical,E-commerce,In Transit
672,ORD-0000672,Standard,Low,B2B,Delivered
673,ORD-0000673,Backorder,Critical,EDI,Delivered
674,ORD-0000674,Backorder,Medium,EDI,Delivered
675,ORD-0000675,Standard,Medium,B2B,Delivered
676,ORD-0000676,Express,Low,E-commerce,In Transit
677,ORD-0000677,Backorder,Critical,EDI,Delivered
678,ORD-0000678,Backorder,Medium,EDI,Delivered
679,ORD-0000679,Express,Low,E-commerce,In Transit
680,ORD-0000680,Standard,Low,B2B,Delivered
681,ORD-0000681,Standard,Critical,B2B,Delivered
682,ORD-0000682,Standard,Critical,B2B,In Transit
683,ORD-0000683,Standard,Low,B2B,Delivered
684,ORD-0000684,Express,Critical,E-commerce,Delivered
685,ORD-0000685,Standard,Medium,B2B,Delivered
686,ORD-0000686,Standard,High,B2B,Delivered
687,ORD-0000687,Backorder,Low,EDI,Delivered
688,ORD-0000688,Backorder,High,EDI,Delivered
689,ORD-0000689,Backorder,Low,EDI,Delivered
690,ORD-0000690,Backorder,Low,EDI,Delivered
691,ORD-0000691,Standard,Critical,B2B,Delivered
692,ORD-0000692,Express,Low,E-commerce,In Transit
693,ORD-0000693,Standard,Medium,B2B,Delivered
694,ORD-0000694,Standard,High,B2B,Delivered
695,ORD-0000695,Express,Low,E-commerce,Delivered
696,ORD-0000696,Express,Critical,E-commerce,Delivered
697,ORD-0000697,Standard,Critical,B2B,Delivered
698,ORD-0000698,Express,Critical,E-commerce,Delivered
699,ORD-0000699,Express,Medium,E-commerce,Delivered
700,ORD-0000700,Backorder,Low,EDI,Delivered
701,ORD-0000701,Backorder,High,EDI,Delivered
702,ORD-0000702,Backorder,Low,EDI,Delivered
703,ORD-0000703,Standard,Medium,B2B,Delivered
704,ORD-0000704,Backorder,High,EDI,Delivered
705,ORD-0000705,Express,Low,E-commerce,Delivered
706,ORD-0000706,Backorder,Low,EDI,Delivered
707,ORD-0000707,Backorder,Medium,EDI,Delivered
708,ORD-0000708,Backorder,Critical,EDI,In Transit
709,ORD-0000709,Backorder,High,EDI,In Transit
710,ORD-0000710,Backorder,High,EDI,Delivered
711,ORD-0000711,Express,High,E-commerce,In Transit
712,ORD-0000712,Backorder,High,EDI,Delivered
713,ORD-0000713,Standard,Medium,B2B,Delivered
714,ORD-0000714,Backorder,Medium,EDI,Delivered
715,ORD-0000715,Standard,Medium,B2B,Delivered
716,ORD-0000716,Express,Critical,E-commerce,Delivered
717,ORD-0000717,Express,Medium,E-commerce,Delivered
718,ORD-0000718,Backorder,Medium,EDI,Delivered
719,ORD-0000719,Standard,Critical,B2B,Delivered
720,ORD-0000720,Express,Low,E-commerce,Delivered
721,ORD-0000721,Express,Low,E-commerce,Delivered
722,ORD-0000722,Backorder,Medium,EDI,Delivered
723,ORD-0000723,Standard,Medium,B2B,Delivered
724,ORD-0000724,Standard,Medium,B2B,Delivered
725,ORD-0000725,Express,High,E-commerce,Delivered
726,ORD-0000726,Express,Medium,E-commerce,Delivered
727,ORD-0000727,Express,Critical,E-commerce,Delivered
728,ORD-0000728,Standard,High,B2B,In Transit
729,ORD-0000729,Backorder,Critical,EDI,Delivered
730,ORD-0000730,Backorder,Low,EDI,Delivered
731,ORD-0000731,Backorder,Critical,EDI,Delivered
732,ORD-0000732,Standard,Low,B2B,Delivered
733,ORD-0000733,Standard,Critical,B2B,In Transit
734,ORD-0000734,Standard,Critical,B2B,Delivered
735,ORD-0000735,Backorder,Low,EDI,Delivered
736,ORD-0000736,Standard,Medium,B2B,Delivered
737,ORD-0000737,Express,Low,E-commerce,Delivered
738,ORD-0000738,Express,Critical,E-commerce,Delivered
739,ORD-0000739,Express,Critical,E-commerce,Delivered
740,ORD-0000740,Express,Critical,E-commerce,Delivered
741,ORD-0000741,Backorder,High,EDI,Delivered
742,ORD-0000742,Express,Critical,E-commerce,Returned
743,ORD-0000743,Standard,Critical,B2B,Delivered
744,ORD-0000744,Express,Critical,E-commerce,Delivered
745,ORD-0000745,Express,Critical,E-commerce,Delivered
746,ORD-0000746,Standard,Critical,B2B,Delivered
747,ORD-0000747,Standard,Low,B2B,Delivered
748,ORD-0000748,Express,Medium,E-commerce,Delivered
749,ORD-0000749,Backorder,Critical,EDI,Delivered
750,ORD-0000750,Backorder,Medium,EDI,Delivered
751,ORD-0000751,Backorder,Medium,EDI,Delivered
752,ORD-0000752,Backorder,High,EDI,In Transit
753,ORD-0000753,Standard,Low,B2B,Delivered
754,ORD-0000754,Express,Low,E-commerce,Delivered
755,ORD-0000755,Standard,Critical,B2B,Delivered
756,ORD-0000756,Express,Medium,E-commerce,In Transit
757,ORD-0000757,Express,High,E-commerce,Delivered
758,ORD-0000758,Standard,Low,B2B,Delivered
759,ORD-0000759,Backorder,Low,EDI,Delivered
760,ORD-0000760,Backorder,Low,EDI,In Transit
761,ORD-0000761,Standard,Medium,B2B,Delivered
762,ORD-0000762,Express,Critical,E-commerce,Delivered
763,ORD-0000763,Express,Low,E-commerce,Delivered
764,ORD-0000764,Express,Critical,E-commerce,Returned
765,ORD-0000765,Backorder,Critical,EDI,Delivered
766,ORD-0000766,Backorder,Critical,EDI,Delivered
767,ORD-0000767,Backorder,Medium,EDI,Delivered
768,ORD-0000768,Backorder,Medium,EDI,Delivered
769,ORD-0000769,Standard,Medium,B2B,Delivered
770,ORD-0000770,Express,Low,E-commerce,Delivered
771,ORD-0000771,Standard,Low,B2B,In Transit
772,ORD-0000772,Express,Medium,E-commerce,Delivered
773,ORD-0000773,Standard,Low,B2B,Delivered
774,ORD-0000774,Standard,Medium,B2B,Delivered
775,ORD-0000775,Express,Medium,E-commerce,Delivered
776,ORD-0000776,Backorder,High,EDI,In Transit
777,ORD-0000777,Backorder,Low,EDI,In Transit
778,ORD-0000778,Express,High,E-commerce,In Transit
779,ORD-0000779,Standard,Medium,B2B,Delivered
780,ORD-0000780,Backorder,Low,EDI,Delivered
781,ORD-0000781,Standard,Low,B2B,Returned
782,ORD-0000782,Express,Medium,E-commerce,Delivered
783,ORD-0000783,Express,Critical,E-commerce,Delivered
784,ORD-0000784,Standard,Critical,B2B,Delivered
785,ORD-0000785,Standard,Critical,B2B,Delivered
786,ORD-0000786,Standard,Critical,B2B,Delivered
787,ORD-0000787,Express,Critical,E-commerce,Delivered
788,ORD-0000788,Express,Medium,E-commerce,Delivered
789,ORD-0000789,Express,Critical,E-commerce,In Transit
790,ORD-0000790,Express,Medium,E-commerce,In Transit
791,ORD-0000791,Express,High,E-commerce,Delivered
792,ORD-0000792,Express,Medium,E-commerce,Delivered
793,ORD-0000793,Standard,Low,B2B,Delivered
794,ORD-0000794,Standard,High,B2B,Cancelled
795,ORD-0000795,Express,High,E-commerce,Delivered
796,ORD-0000796,Backorder,Low,EDI,Delivered
797,ORD-0000797,Express,Critical,E-commerce,Delivered
798,ORD-0000798,Backorder,Critical,EDI,Delivered
799,ORD-0000799,Standard,Low,B2B,Delivered
800,ORD-0000800,Express,Low,E-commerce,Delivered
801,ORD-0000801,Standard,Critical,B2B,Cancelled
802,ORD-0000802,Backorder,Low,EDI,Delivered
803,ORD-0000803,Express,Medium,E-commerce,Delivered
804,ORD-0000804,Backorder,Medium,EDI,Delivered
805,ORD-0000805,Backorder,High,EDI,Delivered
806,ORD-0000806,Standard,Critical,B2B,Delivered
807,ORD-0000807,Backorder,Low,EDI,Delivered
808,ORD-0000808,Backorder,Low,EDI,Delivered
809,ORD-0000809,Backorder,High,EDI,Delivered
810,ORD-0000810,Express,High,E-commerce,Delivered
811,ORD-0000811,Standard,High,B2B,Delivered
812,ORD-0000812,Standard,Medium,B2B,Returned
813,ORD-0000813,Standard,Medium,B2B,In Transit
814,ORD-0000814,Standard,Low,B2B,Returned
815,ORD-0000815,Backorder,Medium,EDI,Delivered
816,ORD-0000816,Standard,Medium,B2B,Delivered
817,ORD-0000817,Express,Medium,E-commerce,Delivered
818,ORD-0000818,Standard,Critical,B2B,Delivered
819,ORD-0000819,Backorder,Medium,EDI,Delivered
820,ORD-0000820,Express,Low,E-commerce,Delivered
821,ORD-0000821,Express,Low,E-commerce,Delivered
822,ORD-0000822,Express,Low,E-commerce,Delivered
823,ORD-0000823,Express,High,E-commerce,Delivered
824,ORD-0000824,Backorder,Low,EDI,Delivered
825,ORD-0000825,Express,Low,E-commerce,In Transit
826,ORD-0000826,Standard,Critical,B2B,Delivered
827,ORD-0000827,Standard,Medium,B2B,In Transit
828,ORD-0000828,Express,Critical,E-commerce,Delivered
829,ORD-0000829,Standard,Critical,B2B,In Transit
830,ORD-0000830,Backorder,Critical,EDI,In Transit
831,ORD-0000831,Express,Low,E-commerce,Delivered
832,ORD-0000832,Express,Critical,E-commerce,Cancelled
833,ORD-0000833,Express,Critical,E-commerce,Delivered
834,ORD-0000834,Express,Low,E-commerce,Delivered
835,ORD-0000835,Standard,Low,B2B,Delivered
836,ORD-0000836,Standard,Low,B2B,Delivered
837,ORD-0000837,Backorder,Medium,EDI,Delivered
838,ORD-0000838,Backorder,Critical,EDI,Delivered
839,ORD-0000839,Standard,High,B2B,In Transit
840,ORD-0000840,Backorder,High,EDI,Delivered
841,ORD-0000841,Standard,Low,B2B,Delivered
842,ORD-0000842,Standard,Medium,B2B,Delivered
843,ORD-0000843,Standard,Medium,B2B,Delivered
844,ORD-0000844,Backorder,High,EDI,Delivered
845,ORD-0000845,Standard,Low,B2B,Delivered
846,ORD-0000846,Express,Low,E-commerce,Delivered
847,ORD-0000847,Express,Low,E-commerce,In Transit
848,ORD-0000848,Backorder,Low,EDI,Delivered
849,ORD-0000849,Standard,Medium,B2B,Delivered
850,ORD-0000850,Backorder,Medium,EDI,Delivered
851,ORD-0000851,Standard,High,B2B,Delivered
852,ORD-0000852,Backorder,Critical,EDI,In Transit
853,ORD-0000853,Standard,Critical,B2B,Delivered
854,ORD-0000854,Standard,Medium,B2B,Delivered
855,ORD-0000855,Express,High,E-commerce,Delivered
856,ORD-0000856,Express,Medium,E-commerce,Delivered
857,ORD-0000857,Standard,Critical,B2B,Delivered
858,ORD-0000858,Standard,Critical,B2B,Delivered
859,ORD-0000859,Express,Low,E-commerce,Delivered
860,ORD-0000860,Standard,High,B2B,Delivered
861,ORD-0000861,Backorder,Critical,EDI,Delivered
862,ORD-0000862,Standard,High,B2B,Delivered
863,ORD-0000863,Backorder,Medium,EDI,Delivered
864,ORD-0000864,Standard,Low,B2B,Delivered
865,ORD-0000865,Express,High,E-commerce,Delivered
866,ORD-0000866,Backorder,Low,EDI,Delivered
867,ORD-0000867,Standard,Critical,B2B,Delivered
868,ORD-0000868,Backorder,Critical,EDI,Delivered
869,ORD-0000869,Backorder,High,EDI,Delivered
870,ORD-0000870,Backorder,Low,EDI,Delivered
871,ORD-0000871,Standard,High,B2B,Delivered
872,ORD-0000872,Standard,High,B2B,Delivered
873,ORD-0000873,Backorder,Medium,EDI,Delivered
874,ORD-0000874,Express,Low,E-commerce,In Transit
875,ORD-0000875,Express,Low,E-commerce,Delivered
876,ORD-0000876,Standard,Medium,B2B,Delivered
877,ORD-0000877,Backorder,Low,EDI,Delivered
878,ORD-0000878,Express,Medium,E-commerce,Delivered
879,ORD-0000879,Express,High,E-commerce,Delivered
880,ORD-0000880,Standard,Medium,B2B,Returned
881,ORD-0000881,Standard,Critical,B2B,Delivered
882,ORD-0000882,Standard,Low,B2B,Delivered
883,ORD-0000883,Express,Low,E-commerce,Delivered
884,ORD-0000884,Backorder,Critical,EDI,Delivered
885,ORD-0000885,Backorder,High,EDI,In Transit
886,ORD-0000886,Backorder,Medium,EDI,Delivered
887,ORD-0000887,Express,Critical,E-commerce,Delivered
888,ORD-0000888,Standard,High,B2B,Delivered
889,ORD-0000889,Express,High,E-commerce,Delivered
890,ORD-0000890,Express,High,E-commerce,Delivered
891,ORD-0000891,Express,Critical,E-commerce,Delivered
892,ORD-0000892,Standard,Critical,B2B,In Transit
893,ORD-0000893,Standard,Low,B2B,Delivered
894,ORD-0000894,Express,Medium,E-commerce,Delivered
895,ORD-0000895,Backorder,Low,EDI,In Transit
896,ORD-0000896,Standard,Low,B2B,Delivered
897,ORD-0000897,Backorder,Medium,EDI,Delivered
898,ORD-0000898,Express,Low,E-commerce,Delivered
899,ORD-0000899,Express,Medium,E-commerce,Delivered
900,ORD-0000900,Express,Low,E-commerce,Delivered
901,ORD-0000901,Backorder,Low,EDI,Delivered
902,ORD-0000902,Backorder,Critical,EDI,Delivered
903,ORD-0000903,Standard,Critical,B2B,Delivered
904,ORD-0000904,Standard,Medium,B2B,Delivered
905,ORD-0000905,Express,Critical,E-commerce,Delivered
906,ORD-0000906,Standard,Critical,B2B,Delivered
907,ORD-0000907,Standard,Critical,B2B,In Transit
908,ORD-0000908,Backorder,High,EDI,Delivered
909,ORD-0000909,Express,Low,E-commerce,Delivered
910,ORD-0000910,Express,Low,E-commerce,Delivered
911,ORD-0000911,Standard,High,B2B,Delivered
912,ORD-0000912,Backorder,Critical,EDI,Delivered
913,ORD-0000913,Express,Medium,E-commerce,Delivered
914,ORD-0000914,Backorder,Low,EDI,Delivered
915,ORD-0000915,Standard,Medium,B2B,Delivered
916,ORD-0000916,Backorder,Low,EDI,Delivered
917,ORD-0000917,Backorder,Critical,EDI,Cancelled
918,ORD-0000918,Standard,Critical,B2B,Delivered
919,ORD-0000919,Backorder,Low,EDI,Delivered
920,ORD-0000920,Standard,Medium,B2B,Delivered
921,ORD-0000921,Backorder,High,EDI,Delivered
922,ORD-0000922,Standard,Medium,B2B,Delivered
923,ORD-0000923,Backorder,Medium,EDI,Delivered
924,ORD-0000924,Backorder,Medium,EDI,Delivered
925,ORD-0000925,Standard,Low,B2B,Delivered
926,ORD-0000926,Express,High,E-commerce,In Transit
927,ORD-0000927,Express,Low,E-commerce,Delivered
928,ORD-0000928,Express,Low,E-commerce,Delivered
929,ORD-0000929,Standard,Critical,B2B,Delivered
930,ORD-0000930,Backorder,Critical,EDI,Delivered
931,ORD-0000931,Express,Medium,E-commerce,Delivered
932,ORD-0000932,Standard,Critical,B2B,Delivered
933,ORD-0000933,Standard,Low,B2B,Delivered
934,ORD-0000934,Standard,High,B2B,Delivered
935,ORD-0000935,Standard,Critical,B2B,In Transit
936,ORD-0000936,Standard,High,B2B,Delivered
937,ORD-0000937,Standard,Low,B2B,Delivered
938,ORD-0000938,Standard,Low,B2B,Delivered
939,ORD-0000939,Express,Medium,E-commerce,Returned
940,ORD-0000940,Standard,Critical,B2B,Delivered
941,ORD-0000941,Standard,Low,B2B,Delivered
942,ORD-0000942,Express,High,E-commerce,Delivered
943,ORD-0000943,Backorder,Medium,EDI,Delivered
944,ORD-0000944,Backorder,Low,EDI,In Transit
945,ORD-0000945,Backorder,Medium,EDI,In Transit
946,ORD-0000946,Backorder,Low,EDI,Delivered
947,ORD-0000947,Backorder,High,EDI,Delivered
948,ORD-0000948,Standard,High,B2B,Delivered
949,ORD-0000949,Backorder,Critical,EDI,Delivered
950,ORD-0000950,Standard,Critical,B2B,Delivered
951,ORD-0000951,Standard,Medium,B2B,Delivered
952,ORD-0000952,Backorder,Critical,EDI,Delivered
953,ORD-0000953,Express,Low,E-commerce,Delivered
954,ORD-0000954,Express,Low,E-commerce,Delivered
955,ORD-0000955,Backorder,High,EDI,Delivered
956,ORD-0000956,Standard,High,B2B,Delivered
957,ORD-0000957,Standard,Medium,B2B,Delivered
958,ORD-0000958,Backorder,Medium,EDI,Delivered
959,ORD-0000959,Standard,Critical,B2B,Delivered
960,ORD-0000960,Express,High,E-commerce,Delivered
961,ORD-0000961,Express,Critical,E-commerce,Delivered
962,ORD-0000962,Standard,Critical,B2B,Delivered
963,ORD-0000963,Standard,Medium,B2B,Delivered
964,ORD-0000964,Standard,High,B2B,Delivered
965,ORD-0000965,Backorder,Critical,EDI,Delivered
966,ORD-0000966,Express,Low,E-commerce,Delivered
967,ORD-0000967,Backorder,High,EDI,In Transit
968,ORD-0000968,Standard,Low,B2B,Delivered
969,ORD-0000969,Express,High,E-commerce,Cancelled
970,ORD-0000970,Backorder,Critical,EDI,Delivered
971,ORD-0000971,Backorder,Low,EDI,Delivered
972,ORD-0000972,Express,Medium,E-commerce,In Transit
973,ORD-0000973,Standard,Medium,B2B,In Transit
974,ORD-0000974,Backorder,Critical,EDI,Delivered
975,ORD-0000975,Standard,Medium,B2B,Delivered
976,ORD-0000976,Express,Low,E-commerce,Delivered
977,ORD-0000977,Express,Critical,E-commerce,In Transit
978,ORD-0000978,Standard,Medium,B2B,Delivered
979,ORD-0000979,Express,Medium,E-commerce,Delivered
980,ORD-0000980,Backorder,Critical,EDI,Delivered
981,ORD-0000981,Express,Critical,E-commerce,Delivered
982,ORD-0000982,Standard,High,B2B,Delivered
983,ORD-0000983,Backorder,High,EDI,Cancelled
984,ORD-0000984,Standard,Low,B2B,Delivered
985,ORD-0000985,Express,Low,E-commerce,In Transit
986,ORD-0000986,Express,Low,E-commerce,Delivered
987,ORD-0000987,Standard,Medium,B2B,Delivered
988,ORD-0000988,Standard,Critical,B2B,Delivered
989,ORD-0000989,Standard,Critical,B2B,Delivered
990,ORD-0000990,Backorder,Low,EDI,Delivered
991,ORD-0000991,Express,High,E-commerce,Delivered
992,ORD-0000992,Standard,Medium,B2B,Returned
993,ORD-0000993,Standard,Low,B2B,Delivered
994,ORD-0000994,Standard,Low,B2B,Delivered
995,ORD-0000995,Express,Critical,E-commerce,Delivered
996,ORD-0000996,Express,Medium,E-commerce,Delivered
997,ORD-0000997,Standard,Medium,B2B,Delivered
998,ORD-0000998,Backorder,Critical,EDI,Cancelled
999,ORD-0000999,Standard,High,B2B,Delivered
1000,ORD-0001000,Standard,Critical,B2B,Delivered
1001,ORD-0001001,Express,High,E-commerce,Delivered
1002,ORD-0001002,Standard,Low,B2B,Delivered
1003,ORD-0001003,Standard,Low,B2B,Delivered
1004,ORD-0001004,Standard,Critical,B2B,Delivered
1005,ORD-0001005,Backorder,Critical,EDI,Delivered
1006,ORD-0001006,Backorder,Medium,EDI,Delivered
1007,ORD-0001007,Backorder,High,EDI,Delivered
1008,ORD-0001008,Standard,Low,B2B,Delivered
1009,ORD-0001009,Backorder,Critical,EDI,Cancelled
1010,ORD-0001010,Backorder,Critical,EDI,In Transit
1011,ORD-0001011,Express,Medium,E-commerce,In Transit
1012,ORD-0001012,Express,Medium,E-commerce,Delivered
1013,ORD-0001013,Express,Critical,E-commerce,Delivered
1014,ORD-0001014,Backorder,Low,EDI,Delivered
1015,ORD-0001015,Backorder,Low,EDI,Delivered
1016,ORD-0001016,Express,Critical,E-commerce,Delivered
1017,ORD-0001017,Backorder,Medium,EDI,Delivered
1018,ORD-0001018,Standard,High,B2B,Delivered
1019,ORD-0001019,Backorder,Critical,EDI,In Transit
1020,ORD-0001020,Backorder,High,EDI,Delivered
1021,ORD-0001021,Standard,Medium,B2B,Delivered
1022,ORD-0001022,Backorder,Low,EDI,Delivered
1023,ORD-0001023,Express,Low,E-commerce,Delivered
1024,ORD-0001024,Express,High,E-commerce,In Transit
1025,ORD-0001025,Standard,Critical,B2B,In Transit
1026,ORD-0001026,Backorder,High,EDI,Delivered
1027,ORD-0001027,Standard,Medium,B2B,Delivered
1028,ORD-0001028,Backorder,Low,EDI,Delivered
1029,ORD-0001029,Express,Critical,E-commerce,Cancelled
1030,ORD-0001030,Express,Medium,E-commerce,Delivered
1031,ORD-0001031,Backorder,High,EDI,Delivered
1032,ORD-0001032,Backorder,High,EDI,Delivered
1033,ORD-0001033,Backorder,High,EDI,Delivered
1034,ORD-0001034,Standard,High,B2B,Delivered
1035,ORD-0001035,Standard,High,B2B,Delivered
